,Repetition\File,0,1,2,3,4,5,6,7,8,9
,18,1291001,1306174,1331908,1303342,1287407,1285292,1302093,1308316,1295275,1311607
,19,1286269,1309694,1331258,1304996,1284914,1289934,1307012,1307180,1299735,1314339
,2,1291296,1309281,1330763,1303284,1289217,1291400,1308850,1303843,1297230,1310852
,20,1285488,1309328,1329552,1305368,1288060,1288568,1306510,1306439,1299932,1313181
,3,1291468,1307554,1330672,1306424,1287031,1290937,1306140,1307189,1293759,1304398
,4,1291259,1310454,1328830,1306474,1291235,1290961,1309312,1308915,1297801,1314566
,5,1288800,1308434,1328695,1305101,1287648,1289570,1304411,1305894,1296285,1309084
,6,1291352,1308429,1330243,1303254,1290894,1291258,1306116,1302185,1297930,1313907
,7,1289663,1309742,1327660,1304079,1290623,1289664,1303484,1307673,1299377,1312640
,8,1291232,1310262,1330192,1301734,1289805,1288310,1308693,1306520,1298659,1311197
,9,1292096,1307434,1331071,1306266,1289234,1288169,1307465,1307611,1297106,1312358
,Min,1285488,1305559,1327631,1301734,1284914,1285292,1302093,1301992,1293759,1304398
,Max,1292096,1310454,1331908,1307002,1291898,1291400,1310782,1308915,1300597,1314566
,Mean,1289536.2,1308458.35,1329726.9,1305003.9,1289110.55,1289440.9,1306931.25,1306497.25,1297798.6,1312093.65
,Std. Dev.,1969.61876086665,1245.40512432068,1339.43660190631,1519.03961696025,1945.49421335827,1646.77573010509,2192.76367015643,1870.47201684213,1832.71872824013,2376.37973828391
,ARPD,5.10703989553982,5.36694794940615,5.02102826435668,5.49296594406222,5.35813791170127,5.23866071851224,5.24092339877618,5.29305217517448,5.59226274260292,5.20685864478862
500x20,1,7201296,7298276,7227954,7266138,7219323,7247235,7186581,7279703,7196588,7252617
,10,7198743,7301864,7227954,7258665,7228072,7248754,7185756,7280072,7194179,7241794
,11,7202115,7281787,7241242,7271088,7233907,7250605,7196476,7264388,7201785,7255267
,12,7197901,7301144,7227937,7267740,7230066,7253870,7194141,7280470,7205460,7260524
,13,7196899,7297229,7237591,7266540,7223881,7254959,7195663,7273025,7188818,7261353
,14,7184485,7310368,7228245,7276766,7206544,7256139,7190522,7275829,7195858,7246203
,15,7193176,7298331,7238752,7272614,7232281,7262550,7201902,7269383,7207297,7257060
,16,7198022,7304127,7243508,7258066,7236159,7257526,7201522,7262027,7187777,7253231
,17,7198165,7313341,7244665,7253115,7231077,7229145,7205128,7266975,7198904,7246489
,18,7205024,7293260,7237206,7266101,7215866,7233911,7200839,7279494,7186644,7243265
,19,7181912,7304214,7233444,7267320,7212430,7241890,7196727,7264269,7202566,7252575
,2,7183135,7296425,7244464,7242360,7217661,7246158,7178261,7258923,7194014,7253544
,20,7186303,7302715,7244907,7269773,7241588,7233634,7189775,7276183,7187164,7255426
,3,7191003,7302193,7237181,7249661,7228314,7259779,7195979,7267552,7177129,7255058
,4,7193279,7288186,7239993,7252871,7227103,7233556,7199938,7267550,7198025,7246743
,5,7196033,7294592,7232005,7241906,7230906,7255407,7205089,7270629,7193599,7249548
,6,7201532,7299826,7247761,7264592,7230785,7230098,7195140,7265890,7202630,7258387
,7,7195999,7292573,7234417,7253995,7227450,7246800,7197089,7261893,7195522,7249162
,8,7207028,7308116,7241932,7272707,7238944,7250152,7188550,7272829,7197687,7245877
,9,7198618,7306799,7229363,7271777,7229860,7239896,7195395,7278396,7197358,7257546
,Min,7181912,7281787,7227937,7241906,7206544,7229145,7178261,7258923,7177129,7241794
,Max,7207028,7313341,7247761,7276766,7241588,7262550,7205128,7280470,7207297,7261353
,Mean,7195533.4,7299768.3,7237026.05,7262189.75,7227110.85,7246603.2,7195023.65,7270774,7195450.2,7252083.45
,Std. Dev.,7083.23267263873,7524.06291489966,6549.14235827466,10260.9213697047,8861.98283191509,10300.9375025567,6845.36854780392,6876.22713258858,7266.97728806573,5699.30212232857
,ARPD,7.26709225463782,6.88320867134391,7.25672100918474,7.00061838317479,6.98498739574231,7.33329620575943,7.24659107508578,7.39979683362381,7.06759969609286,7.15815398118548
